"id","data_id","plot","field","year","distance_to_tree_strip","crop_unified","yield_tha","yield_straw_tha","tree_species","fertilizer","harvestyear","treeage","latitude","longitude","min_latitude","min_longitude","max_latitude","max_longitude","area","crop","fertilization_rate_kg_n_p_k_ha_1_year_1","sowing_month","harvest_month","harvest_reported_or_assigned","source","growing_start","growing_end","gs_start_date","gs_end_date","temp_C_mean","sun_MJ_m2_mean","precip_mm_sum","fieldlength","l_contag","l_np","l_sidi","l_shdi","l_ai","l_ed","min_slope","max_slope","mean_slope","swf_year","distance","radius","prop_swf","prop_swf_within","fert_N","year_AFplanting","AFage","clay","sand","silt","ID_nodist"
"W_AF_r1_4m_2016","signal16","W_AF_r1_4m","Wendhausen",2016,4,"rapeseed",2.5148,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",100,428.788139322363,0.0444414787134659,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_4m_2016","signal16","W_AF_r1_4m","Wendhausen",2016,4,"rapeseed",2.5148,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",200,528.788139322363,0.0202052258542262,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_4m_2016","signal16","W_AF_r1_4m","Wendhausen",2016,4,"rapeseed",2.5148,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",300,628.788139322363,0.0272370144041903,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_4m_2016","signal16","W_AF_r1_4m","Wendhausen",2016,4,"rapeseed",2.5148,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",400,728.788139322363,0.0233390500335545,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_4m_2016","signal16","W_AF_r1_4m","Wendhausen",2016,4,"rapeseed",2.5148,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",500,828.788139322363,0.0150864871894915,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_4m_2016","signal16","W_AF_r1_4m","Wendhausen",2016,4,"rapeseed",2.5148,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",600,928.788139322363,0.00212802668660493,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_4m_2016","signal16","W_AF_r1_4m","Wendhausen",2016,4,"rapeseed",2.5148,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",700,1028.78813932236,0.0340973767268588,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_4m_2016","signal16","W_AF_r1_4m","Wendhausen",2016,4,"rapeseed",2.5148,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",800,1128.78813932236,0.017728999577881,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_4m_2016","signal16","W_AF_r1_4m","Wendhausen",2016,4,"rapeseed",2.5148,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",900,1228.78813932236,0.0204379562043796,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_4m_2016","signal16","W_AF_r1_4m","Wendhausen",2016,4,"rapeseed",2.5148,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",1000,1328.78813932236,0.0183779938344795,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_7m_2016","signal16","W_AF_r1_7m","Wendhausen",2016,7,"rapeseed",2.9589,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",100,428.788139322363,0.0444414787134659,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_7m_2016","signal16","W_AF_r1_7m","Wendhausen",2016,7,"rapeseed",2.9589,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",200,528.788139322363,0.0202052258542262,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_7m_2016","signal16","W_AF_r1_7m","Wendhausen",2016,7,"rapeseed",2.9589,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",300,628.788139322363,0.0272370144041903,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_7m_2016","signal16","W_AF_r1_7m","Wendhausen",2016,7,"rapeseed",2.9589,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",400,728.788139322363,0.0233390500335545,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_7m_2016","signal16","W_AF_r1_7m","Wendhausen",2016,7,"rapeseed",2.9589,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",500,828.788139322363,0.0150864871894915,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_7m_2016","signal16","W_AF_r1_7m","Wendhausen",2016,7,"rapeseed",2.9589,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",600,928.788139322363,0.00212802668660493,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_7m_2016","signal16","W_AF_r1_7m","Wendhausen",2016,7,"rapeseed",2.9589,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",700,1028.78813932236,0.0340973767268588,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_7m_2016","signal16","W_AF_r1_7m","Wendhausen",2016,7,"rapeseed",2.9589,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",800,1128.78813932236,0.017728999577881,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_7m_2016","signal16","W_AF_r1_7m","Wendhausen",2016,7,"rapeseed",2.9589,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",900,1228.78813932236,0.0204379562043796,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r1_7m_2016","signal16","W_AF_r1_7m","Wendhausen",2016,7,"rapeseed",2.9589,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",1000,1328.78813932236,0.0183779938344795,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r1_2016"
"W_AF_r2_1m_2016","signal16","W_AF_r2_1m","Wendhausen",2016,1,"rapeseed",0.0461,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",100,428.788139322363,0.0444414787134659,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r2_2016"
"W_AF_r2_1m_2016","signal16","W_AF_r2_1m","Wendhausen",2016,1,"rapeseed",0.0461,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",200,528.788139322363,0.0202052258542262,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r2_2016"
"W_AF_r2_1m_2016","signal16","W_AF_r2_1m","Wendhausen",2016,1,"rapeseed",0.0461,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",300,628.788139322363,0.0272370144041903,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r2_2016"
"W_AF_r2_1m_2016","signal16","W_AF_r2_1m","Wendhausen",2016,1,"rapeseed",0.0461,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",400,728.788139322363,0.0233390500335545,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r2_2016"
"W_AF_r2_1m_2016","signal16","W_AF_r2_1m","Wendhausen",2016,1,"rapeseed",0.0461,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",500,828.788139322363,0.0150864871894915,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r2_2016"
"W_AF_r2_1m_2016","signal16","W_AF_r2_1m","Wendhausen",2016,1,"rapeseed",0.0461,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",600,928.788139322363,0.00212802668660493,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r2_2016"
"W_AF_r2_1m_2016","signal16","W_AF_r2_1m","Wendhausen",2016,1,"rapeseed",0.0461,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",700,1028.78813932236,0.0340973767268588,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r2_2016"
"W_AF_r2_1m_2016","signal16","W_AF_r2_1m","Wendhausen",2016,1,"rapeseed",0.0461,NA,"poplar","normal",2013,3,52.3317857794637,10.631278588778,52.3294983430001,10.628182969,52.3340856400001,10.634273163,177568.723067154,"Oilseed Rape","221-0-0","Sep","Jul","reported","https://doi.org/10.1007/s10457-025-01237-1",9,7,"2015-09-01","2016-07-01",9.82028116421266,12.9109795310281,58.1681950092316,657.576278643704,72.2060109384775,117,0.589928001461112,0.998917382956262,98.724973020923,27.8951430172283,0.394794166088104,5.69191455841065,1.43116167653352,"prop_swf.2015",800,1128.78813932236,0.017728999577881,0.00346636687277497,221,2008,8,195,462,343,"W_AF_r2_2016"
